Name,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
citrus long-horned beetle,350,On tree stumps,Any except rain,0,10,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,Green,Ins39,InsectGomadarakamikiri,FtrInsectGomadarakamikiri,609,QR88MPLzYxSCHWZJb
common bluebottle,300,Flying,Any except rain,0,70,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Black,Green,Ins72,InsectAosujiageha,FtrInsectAosujiageha,3477,vgkW2eovbpxNuGsFZ
common butterfly,160,Flying,Any except rain,0,60,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,White,Green,Ins0,InsectMonshirocho,FtrInsectMonshirocho,626,tRJxp5N9XbwAGQHZc
cricket,130,On the ground,Any except rain,0,60,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,Brown,Beige,Ins30,InsectKohrogi,FtrInsectKohrogi,617,Lr7eFJzJJZpWRWekm
cyclommatus stag,8000,On palm trees,Any weather,100,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins49,InsectHosoakakuwagata,FtrInsectHosoakakuwagata,602,moBevd7J5hwpHeLcs
damselfly,500,Flying near water,Any except rain,0,60,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,Green,Blue,Ins81,InsectItotonbo,FtrInsectItotonbo,5339,pBmqsa7CyeKzyRjDT
darner dragonfly,230,Flying near water,Any except rain,0,40,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Green,Green,Ins23,InsectGinyanma,FtrInsectGinyanma,595,723NiWMh4iY9RJtAM
diving beetle,800,On rivers/ponds,Any weather,0,10,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,Black,Blue,Ins28,InsectGengorou,FtrInsectGengorou,594,CBjt7itnPqEtNznrX
drone beetle,200,On trees (any kind),Any weather,0,40,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,Green,Blue,Ins75,InsectKanabun,FtrInsectKanabun,3480,uXmtRAQgY3g596tov
dung beetle,3000,Pushing snowballs,Any weather,0,10,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,Black,Beige,Ins40,InsectFunkorogashi,FtrInsectFunkorogashi,604,p9RhE8wLWpHtcoq5G
earth-boring dung beetle,300,On the ground,Any weather,0,30,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Purple,Orange,Ins42,InsectOhsenchikogane,FtrInsectSenchikogane,614,k2fqxdYnTF8BpHB7u
emperor butterfly,4000,Flying near flowers,Any except rain,20,5,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,5 PM – 8 AM,Blue,Orange,Ins5,InsectMorufuocho,FtrInsectMorufuocho,627,Lwkf7oQ3mcWYm6eEY
evening cicada,550,On hardwood/cedar trees,Any weather,0,50,NA,NA,NA,NA,NA,NA,4 AM – 8 AM; 4 PM – 7 PM,4 AM – 8 AM; 4 PM – 7 PM,NA,NA,NA,NA,4 AM – 8 AM; 4 PM – 7 PM,4 AM – 8 AM; 4 PM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Orange,Ins20,InsectHigurashi,FtrInsectHigurashi,601,kzX4apD9C3Nq8khzR
firefly,300,Flying near water,Any except rain,0,200,NA,NA,NA,NA,NA,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,Black,Blue,Ins41,InsectHotaru,FtrInsectHotaru,603,PgiwPqykwafyz5EL6
flea,70,On villagers,Any weather,0,5–10,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,Brown,White,Ins56,InsectNomi,FtrInsectNomi,633,QzDywoJEAJDcjGfEF
fly,60,"Flying near trash (boots, tires, cans) or rotten turnips",Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,White,Ins59,InsectHae,FtrInsectHae,597,xdBmuMgXJ6jGxpabK
giant cicada,500,On hardwood/cedar trees,Any weather,20,50,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Yellow,Ins65,InsectKumazemi,FtrInsectKumazemi,618,nPm2r7idGshQW87MN
giant stag,10000,On trees (any kind),Any weather,50,5,NA,NA,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins47,InsectOhkuwagata,FtrInsectOhkuwagata,637,KhrTLzayFz23zz2kn
giant water bug,2000,On rivers/ponds,Any weather,50,5,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,Brown,Blue,Ins76,InsectTagame,FtrInsectTagame,5157,ZsDdBvqAjZMG8EQkZ
giraffe stag,12000,On palm trees,Any weather,100,1,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins77,InsectGirafanokogirikuwagata,FtrInsectGirafanokogirikuwagata,3482,PSChjzMhGwhnsHTs4
golden stag,12000,On palm trees,Any weather,100,1,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Yellow,Ins50,InsectOugononikuwagata,FtrInsectOugononikuwagata,638,2C8cSphidFCBPxYEe
goliath beetle,8000,On palm trees,Any weather,100,2,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,Red,Black,Ins55,InsectGoraiasuohtsunohanamuguri,FtrInsectGoraiasuohtsunohanamuguri,596,wZQMZfhtRyPFAapmF
grasshopper,160,On the ground,Any except rain,0,60,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Beige,Ins32,InsectKirigirisu,FtrInsectKirigirisu,613,zkzSLJPkkcwXwShKc
great purple emperor,3000,Flying near flowers,Any except rain,50,5,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,Purple,Orange,Ins74,InsectOhmurasaki,FtrInsectOhmurasaki,3479,ZSre7sheZoRqsJwHQ
hermit crab,1000,Disguised on shoreline,Any weather,0,25,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,Beige,Pink,Ins66,InsectYadokari,FtrInsectYadokari,651,TzbsfYgE4k2qo7fHN
honeybee,200,Flying near flowers,Any except rain,0,30,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Yellow,Blue,Ins11,InsectMitsubachi,FtrInsectMitsubachi,623,yeWiAiqDRwinvumDm
horned atlas,8000,On palm trees,Any weather,100,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins52,InsectKohkasasuohkabuto,FtrInsectKohkasasuohkabuto,615,S93y8gxrSHFNCFmwJ
horned dynastid,1350,On trees (any kind),Any weather,0,35,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Black,Ins51,InsectKabutomushi,FtrInsectKabutomushi,612,zaG8qsKLpbTjysx7D
horned elephant,8000,On palm trees,Any weather,100,2,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beige,Black,Ins53,InsectZoukabuto,FtrInsectZoukabuto,653,M7SHXNEMf78nJD6fE
horned hercules,12000,On palm trees,Any weather,100,1,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow,Black,Ins54,InsectHerakuresuohkabuto,FtrInsectHerakuresuohkabuto,600,TqhEomNEMDZ2wcTpk
jewel beetle,2400,On tree stumps,Any except rain,20,5,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,Green,Black,Ins44,InsectTamamushi,FtrInsectTamamushi,645,TYFowxRG4ydcvotkQ
ladybug,200,On flowers,Any except rain,0,40,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,NA,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Red,Green,Ins37,InsectTentoumushi,FtrInsectTentoumushi,647,pYSSbvXzkuFneRvQ7
long locust,200,On the ground,Any weather,0,50,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,Green,Blue,Ins13,InsectShoryobatta,FtrInsectShoryobatta,644,Q57sgq4hQTNZAqWXj
Madagascan sunset moth,2500,Flying near flowers,Any except rain,20,5,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,Green,Pink,Ins79,InsectNishikiohtsubamega,FtrInsectNishikiohtsubamega,3484,EFWMygLqnJinFoXSW
man-faced stink bug,1000,On flowers,Any except rain,20,20,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,Black,Orange,Ins78,InsectJinmenkamemushi,FtrInsectJinmenkamemushi,3483,zvr84Jvf4s6K23XJ5
mantis,430,On flowers,Any except rain,0,30,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Green,Green,Ins15,InsectKamakiri,FtrInsectKamakiri,607,Qko2mfz7SaESpMcCv
migratory locust,600,On the ground,Any weather,20,10,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Green,Orange,Ins14,InsectTonosamabatta,FtrInsectTonosamabatta,648,dkGagcjd7aZwFEszw
miyama stag,1000,On trees (any kind),Any weather,0,35,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,Black,Ins46,InsectMiyamakuwagata,FtrInsectMiyamakuwagata,624,qRGGm6MfuP4Aqdk3M
mole cricket,500,Underground (dig where noise is loudest),Any weather,0,30,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,Brown,Yellow,Ins33,InsectOkera,FtrInsectOkera,634,HMWPGeeKw9LP6ucSq
monarch butterfly,140,Flying near flowers,Any except rain,0,70,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 5 PM,4 AM – 5 PM,4 AM – 5 PM,NA,NA,NA,4 AM – 5 PM,4 AM – 5 PM,4 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,Orange,Blue,Ins4,InsectOhkabamadara,FtrInsectOhkabamadara,636,BJPKSZMZ2tkLXkWjL
mosquito,130,Flying,Any except rain,0,50,NA,NA,NA,NA,NA,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,NA,NA,NA,5 PM – 4 AM,5 PM – 4 AM,5 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 4 AM,Black,White,Ins58,InsectKa,FtrInsectKa,606,3mMZ74qpWWnoizJHh
moth,130,Flying near light sources,Any except rain,0,25,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,Beige,Yellow,Ins9,InsectGa,FtrInsectGa,592,7Kd97rqbYBuzuCHgf
orchid mantis,2400,On white flowers,Any except rain,20,15,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,White,Pink,Ins16,InsectHanakamakiri,FtrInsectHanakamakiri,598,9b4v6nMrrThHEtNbB
paper kite butterfly,1000,Flying near flowers,Any except rain,0,20,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,White,Yellow,Ins73,InsectOhgomamadara,FtrInsectOhgomamadara,3478,hzwridDJE99rPHLrZ
peacock butterfly,2500,Flying near blue/purple/black flowers,Any except rain,20,5,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,Green,Blue,Ins3,InsectKarasuageha,FtrInsectKarasuageha,610,rguKzmnRkGmBMKzyE
pill bug,250,From hitting rocks,Any weather,0,50,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,NA,NA,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,NA,NA,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,Black,Blue,Ins57,InsectDangomushi,FtrInsectDangomushi,590,SGHXhcTzaNJD2z926
pondskater,130,On rivers/ponds,Any weather,0,30,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,Black,Blue,Ins27,InsectAmenbo,FtrInsectAmenbo,587,eSBNwiuZforpxNYem
Queen Alexandra's birdwing,4000,Flying near flowers,Any except rain,50,5,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,Green,Pink,Ins8,InsectArekisandoratoribaneageha,FtrInsectArekisandoratoribaneageha,586,PbNXeN9GZuJuow7jv
rainbow stag,6000,On trees (any kind),Any weather,50,7,NA,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,7 PM – 8 AM,Brown,Black,Ins48,InsectNijiirokuwagata,FtrInsectNijiirokuwagata,631,Egfv6BDtFMeGZPmfh
Rajah Brooke's birdwing,2500,Flying near flowers,Any except rain,20,5,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Green,Pink,Ins7,InsectAkaeritoribaneageha,FtrInsectAkaeritoribaneageha,584,gLpHgXT4pPXP4XfWQ
red dragonfly,180,Flying near water,Any except rain,0,80,NA,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,Red,Orange,Ins22,InsectAkiakane,FtrInsectAkiakane,585,PKSHvkPphXteXHKuG
rice grasshopper,400,On the ground,Any weather,0,20,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,Green,Yellow,Ins67,InsectInago,FtrInsectInago,605,ZxXDxrgPvXEHz24Ni
